name,Type,Bars,Tidal,g-i
manga-8329-1902,-5,0,0,0.9874000000000009
manga-9000-3703,-5,0,0,1.2120999999999995
manga-8329-3701,-5,0,0,1.211000000000002
manga-9865-6102,-5,0,0,1.1515000000000022
manga-7975-3703,-5,0,0,1.0608000000000004
manga-8728-6102,-5,0,0,1.104300000000002
manga-8261-3702,-5,0,0,1.176599999999997
manga-7975-3704,-5,0,0,1.1785999999999994
manga-8484-6102,-5,0,1,1.4267000000000003
manga-8329-3703,-5,0,1,1.1892999999999994
manga-7975-6101,-5,0,0,1.2062000000000026
manga-9045-6102,-5,0,0,1.1834999999999987
manga-8261-3703,-5,0,0,1.1854000000000013
manga-9045-6103,-5,0,0,1.0508000000000024
manga-8261-3704,-5,0,0,1.1463999999999999
manga-8156-3704,-5,0,0,0.8490000000000002
manga-8597-3701,-5,0,0,1.1884000000000015
manga-9865-9101,-5,0,0,1.2809999999999988
manga-8484-9101,-5,0,0,0.9745000000000026
manga-7975-6103,-5,0,0,1.1150999999999982
manga-8655-1901,-5,0,0,1.1235999999999997
manga-8156-6101,-5,0,0,1.0837000000000003
manga-8156-6102,-5,0,1,1.2190000000000012
manga-9000-6104,-5,0,0,1.069700000000001
manga-8484-9102,-5,0,0,1.1277000000000008
manga-9000-9101,-5,0,0,1.125399999999999
manga-8597-3704,-5,0,1,1.1754999999999995
manga-9488-3701,-5,0,0,1.0498000000000012
manga-9045-9102,-5,0,1,1.1753999999999998
manga-10517-6103,-5,0,0,0.984
manga-9000-9102,-5,0,0,1.3719999999999999
manga-8133-6103,-5,0,0,1.2423000000000002
manga-8952-12704,-5,0,0,1.229800000000001
manga-8485-12703,-5,0,0,1.161200000000001
manga-8329-9101,-5,0,0,1.1030000000000015
manga-8655-3703,-5,0,0,1.017900000000001
manga-8156-9101,-5,0,1,1.1099999999999994
manga-7977-12702,-5,0,0,1.029399999999999
manga-9488-3704,-5,0,0,1.1848000000000027
manga-8655-6101,-5,0,0,0.7485999999999997
manga-9047-12704,-5,0,1,1.153500000000001
manga-8330-12702,-5,0,0,0.7575000000000003
manga-8485-1902,-5,0,0,1.002600000000001
manga-9868-1901,-5,0,0,1.1848000000000027
manga-10221-3702,-5,0,0,1.1613000000000007
manga-7977-1901,-5,0,0,1.5579
manga-9047-1901,-5,0,1,1.162700000000001
manga-10519-12703,-5,0,1,1.2624999999999993
manga-8158-12703,-5,0,1,1.1298999999999992
manga-8330-12705,-5,0,0,1.2103000000000002
manga-10221-3703,-5,0,1,1.0459999999999994
manga-8158-12704,-5,0,1,1.141099999999998
manga-9488-6104,-5,0,0,0.9288999999999987
manga-8449-1901,-5,0,0,1.142199999999999
manga-8485-3703,-5,0,0,1.1910000000000025
manga-8952-6101,-5,0,1,1.2074999999999996
manga-9047-3702,-5,0,0,1.1961000000000013
manga-9002-3701,-5,0,0,1.2873000000000019
manga-8600-12703,-5,0,0,1.1494
manga-9868-3704,-5,0,1,1.1311
manga-8952-6102,-5,0,0,1.379999999999999
manga-9047-3703,-5,0,1,1.1407999999999987
manga-8330-3701,-5,0,0,1.0359000000000016
manga-8134-1902,-5,0,0,1.1612999999999971
manga-9002-3703,-5,0,0,1.177299999999999
manga-8134-3701,-5,0,1,1.2482000000000006
manga-8449-3704,-5,0,0,1.1122000000000014
manga-7977-6101,-5,0,1,1.1395000000000017
manga-8330-3703,-5,0,0,1.0549999999999997
manga-8134-3702,-5,0,0,1.2459000000000024
manga-8485-6104,-5,0,0,1.160899999999998
manga-9047-6102,-5,0,0,1.1987999999999985
manga-9002-6101,-5,0,0,1.2363999999999997
manga-7977-6102,-5,0,1,1.0916999999999994
manga-9002-6102,-5,0,0,1.1382000000000012
manga-9868-6104,-5,0,0,1.0534999999999997
manga-10519-3703,-5,0,0,1.2225000000000001
manga-8485-9101,-5,0,0,1.1437999999999988
manga-9047-6103,-5,0,0,1.152899999999999
manga-8330-6101,-5,0,0,1.1716999999999977
manga-8931-9102,-5,0,0,0.9296999999999969
manga-9002-6104,-5,0,0,1.2102000000000004
manga-8134-6101,-5,0,0,1.1693000000000033
manga-8330-6103,-5,0,1,1.1480999999999995
manga-8330-6104,-5,0,0,1.160499999999999
manga-8158-6103,-5,0,0,1.1003000000000007
manga-9002-9101,-5,0,0,1.1053999999999995
manga-8656-3701,-5,0,0,1.120000000000001
manga-8600-6101,-5,0,0,1.1787000000000027
manga-10519-6103,-5,0,1,1.1248000000000005
manga-8656-3704,-5,0,0,1.1522000000000006
manga-8134-9101,-5,0,0,1.2490999999999985
manga-9490-3703,-5,0,0,1.311
manga-8331-12701,-5,0,0,1.2598999999999982
manga-8239-12701,-5,0,0,1.2422000000000004
manga-7979-12703,-5,0,0,1.0924000000000014
manga-8600-9101,-5,0,0,1.2039000000000009
manga-8450-12704,-5,0,1,1.1310000000000002
manga-8486-1902,-5,0,0,1.2001999999999988
manga-8486-3701,-5,0,0,1.1488000000000014
manga-8977-3701,-5,0,1,1.4457999999999984
manga-9024-1901,-5,0,0,1.1164000000000023
manga-9490-6103,-5,0,0,1.1485999999999983
manga-7979-1901,-5,0,0,1.4679000000000002
manga-9048-1902,-5,0,0,0.9414
manga-9048-3701,-5,0,0,1.2375000000000007
manga-8977-3703,-5,0,0,1.1987000000000023
manga-9024-3701,-5,0,0,1.0853000000000002
manga-9869-3703,-5,0,1,1.1442000000000014
manga-9490-9101,-5,0,0,1.170300000000001
manga-8450-3701,-5,0,0,1.2860000000000014
manga-8263-1902,-5,0,0,1.026299999999999
manga-9048-3702,-5,0,0,1.421400000000002
manga-8135-1901,-5,0,0,0.8939999999999984
manga-9048-3703,-5,0,1,1.245899999999999
manga-8331-3701,-5,0,1,1.2347000000000001
manga-9024-3702,-5,0,0,1.3399999999999999
manga-8601-12704,-5,0,0,1.2143999999999977
manga-9024-3703,-5,0,0,1.2387999999999977
manga-9048-3704,-5,0,0,1.2171999999999983
manga-8331-3702,-5,0,0,1.2069999999999972
